year,mon,day,hour,min,sec,x,y,z,altitude,latitude,longitude,longitude_,L,B/B0,epoch
2017,6,23,21,0,3,-2500.4084827499473,299.8664777154386,6732.716228948504,828.9188678793607,69.60354320385092,-54.69070597365135,-54.69070597365135,17.465,6911.259,2017-06-23 21:00:03+00:00
2017,6,23,21,0,9,-2460.381493187618,313.86116510627625,6746.777492075304,828.9667589676355,69.92508933670861,-55.14692580934076,-55.14692580934076,18.385,8038.518,2017-06-23 21:00:09+00:00
2017,6,23,21,0,15,-2420.259862152759,327.8437789927845,6760.57856700853,829.0138663491607,70.24554432798787,-55.61655334030803,-55.61655334030803,19.379,9384.627,2017-06-23 21:00:15+00:00
2017,6,23,21,0,21,-2380.045133988049,341.8137816419109,6774.118924279496,829.0601806650529,70.56485509536249,-56.1002037079584,-56.1002037079584,20.46,8799.255,2017-06-23 21:00:21+00:00
2017,6,23,21,0,27,-2339.7388564969956,355.7706358395219,6787.3980444626195,829.1056927156724,70.88296519627332,-56.59852651834146,-56.59852651834146,21.633000000000003,8272.296,2017-06-23 21:00:27+00:00
2017,6,23,21,0,33,-2299.3428523014272,369.71371137839327,6800.415331705499,829.1503931647567,71.19981245534981,-57.112204437961964,-57.112204437961964,22.909000000000002,7796.221,2017-06-23 21:00:33+00:00
2017,6,23,21,0,39,-2258.8581342711936,383.6426591083827,6813.1704612744925,829.1942737348481,71.51533718676093,-57.64196928597707,-57.64196928597707,24.299,7364.543000000001,2017-06-23 21:00:39+00:00
2017,6,23,21,0,45,-2218.286531078914,397.55684985979104,6825.662855729598,829.2373254097292,71.82946914995381,-58.18858368921687,-58.18858368921687,25.818,6971.818,2017-06-23 21:00:45+00:00
2017,6,23,21,0,51,-2177.6296041579303,411.45574856608306,6837.892035876446,829.2795396403644,72.14213574043659,-58.75285718003926,-58.75285718003926,27.480999999999998,6613.4130000000005,2017-06-23 21:00:51+00:00
2017,6,23,21,0,57,-2136.888918105507,425.3388207809277,6849.85753265224,829.3209080438801,72.45325951856286,-59.33564533799969,-59.33564533799969,29.305999999999997,6285.369000000001,2017-06-23 21:00:57+00:00
2017,6,23,21,1,3,-2096.06631468502,439.20543975320413,6861.558809548592,829.3614221360212,72.76275576827618,-59.93784831361543,-59.93784831361543,31.316,5984.374,2017-06-23 21:01:03+00:00
2017,6,23,21,1,9,-2055.162817411405,453.0552582204495,6872.995574669215,829.4010744132574,73.0705403853353,-60.560429823320135,-60.560429823320135,33.534,5707.385,2017-06-23 21:01:09+00:00
2017,6,23,21,1,15,-2014.1802736986438,466.88765060423293,6884.167310028816,829.4398567241687,73.37651699264504,-61.2043957198687,-61.2043957198687,35.991,5451.854,2017-06-23 21:01:15+00:00
2017,6,23,21,1,21,-1973.1202604401099,480.7020850588756,6895.07358717996,829.4777613630949,73.68058478470958,-61.87081284149784,-61.87081284149784,38.719,5215.662,2017-06-23 21:01:21+00:00
2017,6,23,21,1,27,-1931.9843575859277,494.4980303945133,6905.7139878328535,829.5147807966114,73.98263594061086,-62.56080789193342,-62.56080789193342,41.76,4996.765,2017-06-23 21:01:27+00:00
2017,6,23,21,1,33,-1890.774147938815,508.27495614589577,6916.088103910386,829.5509076648696,74.28255508121245,-63.27557011102647,-63.27557011102647,45.16,4793.460999999999,2017-06-23 21:01:33+00:00
